,school_name_x,year,pta_income,pta_expenditure,pta_start_balance,pta_end_balance,balance_wy_diff_flag,lag_pta_end_balance,end_to_start_balance_diff,balance_xy_diff_flag,pta_start_balance_wy_transaction_flag,pta_income_wy_transaction_flag,pta_expenditure_wy_transaction_flag,pta_end_balance_wy_transaction_flag,pta_start_balance_ws_transaction_flag,pta_income_ws_transaction_flag,pta_expenditure_ws_transaction_flag,pta_end_balance_ws_transaction_flag,any_wy_transaction_flag,any_ws_transaction_flag,any_transaction_flag,anomaly_flag
6,P.S. 110 Florence Nightingale,2019,4457595.0,6669346.0,61617.51,39600.0,True,,,False,False,False,False,False,False,False,False,False,False,False,False,True
24,"New Explorations into Science, Technology and Math",2019,1479000.0,1302000.0,542257.0,719257.0,False,,,False,True,False,False,False,False,False,False,False,True,False,True,True
31,P.S. 006 Lillie D. Blake,2019,936143.84,1068005.26,1220153.0,1033236.92,True,,,False,True,False,False,True,False,False,False,False,True,False,True,True
34,P.S. 040 Augustus Saint-Gaudens,2019,498759.0,561676.0,666144.0,603226.0,False,,,False,True,False,False,False,False,False,False,False,True,False,True,True
35,P.S. 041 Greenwich Village,2019,1023319.0,975740.0,627391.0,673784.68,False,,,False,True,False,False,False,False,False,False,False,True,False,True,True
39,P.S. 059 Beekman Hill International,2019,851102.86,864103.82,580951.59,567950.18,False,,,False,True,False,False,False,False,False,False,False,True,False,True,True
40,P.S. 77 Lower Lab School,2019,589848.0,531821.0,491073.0,549099.0,False,,,False,True,False,False,False,False,False,False,False,True,False,True,True
59,P.S. 212 Midtown West,2019,214533.0,216240.0,297788.14,341884.0,True,,,False,False,False,False,False,False,False,False,False,False,False,False,True
66,Battery Park City School,2019,646377.93,623983.47,845829.32,868223.78,False,,,False,True,False,False,False,False,False,False,False,True,False,True,True
72,P.S. 290 Manhattan New School,2019,683811.55,778843.8,930581.76,835549.51,False,,,False,True,False,False,False,False,False,False,False,True,False,True,True
87,Gramercy Arts High School,2019,600.0,0.0,600.0,600.0,False,,,False,False,False,False,False,True,True,False,True,False,True,True,True
92,Spruce Street School,2019,46566.58,438361.17,451912.85,27303.41,True,,,False,False,False,False,False,False,False,False,False,False,False,False,True
116,High School of Economics and Finance,2019,490.52,60.0,490.52,430.52,False,,,False,False,False,False,False,False,True,True,False,False,True,True,True
146,P.S. 009 Sarah Anderson,2019,783805.0,821096.0,0.0,37291.0,True,,,False,False,False,False,False,False,False,False,False,False,False,False,True
151,P.S. 087 William Sherman,2019,2086338.0,839122.0,1223341.0,1247216.0,True,,,False,True,False,False,True,False,False,False,False,True,False,True,True
160,P.S. 199 Jessie Isador Straus,2019,705415.81,791450.08,712248.93,626214.66,False,,,False,True,False,False,False,False,False,False,False,True,False,True,True
173,The Anderson School,2019,1030522.95,727172.71,1825898.2,2129248.44,False,,,False,True,False,False,True,False,False,False,False,True,False,True,True
175,The Global Learning Collaborative,2019,48.0,2.0,1031.59,1077.59,False,,,False,False,False,False,False,False,True,True,False,False,True,True,True
180,P.S. 452,2019,427044.0,486809.0,438791.0,364542.0,True,,,False,False,False,False,False,False,False,False,False,False,False,False,True
222,P.S. 092 Mary McLeod Bethune,2019,6408.92,6455.2,362.83,46.08,False,,,False,False,False,False,False,False,True,True,False,False,True,True,True
